,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
0,002049.SZ,20200820,20200820,20200630,1,1,606817968.0,619021334.29,3181194536.8,123909800.67,,1027069761.78,,620934864.83,1818236238.74,7141124.92,57062212.45,,,898937160.36,,,,,,,,,12325280.72,4441706643.8,,,140576835.71,,,,,230132733.44,244351414.79,,,,,234270106.02,475396771.53,685676016.95,17007142.67,35446336.55,,341612280.42,2438138786.3,,,,,,,,,,,,,,,,,6879845430.1,237200000.0,368045123.08,,,,,134245969.85,515799873.6,67159449.2,,,157754703.08,56918147.78,2043218.83,41263621.82,39480610.16,,,,,,,,90000000.0,36013646.23,1508724363.63,300000000.0,,800000.0,,14422971.41,259467790.3,,811890761.71,,,,,,,,,,,,,,,,,2320615125.34,,,,,11327557.96,4547902746.8,4559230304.76,6879845430.1,,16959107.04,,,,,,,,
1,002049.SZ,20200820,20200821,20200630,1,1,606817968.0,619021334.29,3181194536.8,123909800.67,,1027069761.78,,620934864.83,1818236238.74,7141124.92,57062212.45,,,898937160.36,,,,,,,,,12325280.72,4441706643.8,,,140576835.71,,,,,230132733.44,244351414.79,,,,,234270106.02,475396771.53,685676016.95,17007142.67,35446336.55,,341612280.42,2438138786.3,,,,,,,,,,,,,,,,,6879845430.1,237200000.0,368045123.08,,,,,134245969.85,515799873.6,67159449.2,,,157754703.08,56918147.78,2043218.83,41263621.82,39480610.16,,,,,,,,90000000.0,36013646.23,1508724363.63,300000000.0,,800000.0,,14422971.41,259467790.3,,811890761.71,,,,,,,,,,,,,,,,,2320615125.34,,,,,11327557.96,4547902746.8,4559230304.76,6879845430.1,,16959107.04,,,,,,,,
2,002049.SZ,20200424,20200424,20200331,1,1,606817968.0,619021334.29,3010614861.37,123909800.67,,1085031938.93,25559689.83,562383963.77,1576029096.25,,74631280.76,,,960503156.05,,,,,,,,,24898091.66,4315580199.79,,,173534418.38,,,,,219424312.11,238413945.32,,,,,618981227.92,404644313.48,685676016.95,15231496.25,31421323.2,,94617437.37,2490613639.2,,,,,,,,,,,,,,,,,6806193838.99,95200000.0,315583280.08,,,,,153533379.98,562220846.61,76173470.09,,,87880108.78,46315798.28,13752405.97,,,,,,,,,,20000000.0,63754160.49,1381809437.07,300000000.0,,,,14511549.36,632761230.2,,1043272779.56,,,,,,,,,,,,,,,,,2425082216.63,,,,,3655577.78,4377456044.58,4381111622.36,6806193838.99,,17092080.25,,,,,,,,
3,002049.SZ,20200402,20200820,20191231,1,1,606817968.0,619021334.29,2825167328.51,123909800.67,,1179253198.7,69762808.93,606663607.07,1313498304.43,268799726.81,62317559.95,,11763673.35,863976585.35,,,,,,,,,28349863.09,4404385327.68,,,90254592.64,,,,,161882152.4,262267459.93,,,,,264871182.41,397418872.9,685676016.95,4851033.01,26473144.12,,92428892.29,1994792494.87,,,,,,,,,,,,,,,,,6399177822.55,71200000.0,257971437.0,,,,,337993574.24,654491182.77,14872517.99,,,195901568.0,25319072.39,9741279.35,,57927558.95,,,,,,,,20000000.0,44064172.34,1618282363.03,300000000.0,,800000.0,,14600127.32,201539007.45,,588139134.77,,,,,,,,,,,,,,,,,2206421497.8,,,,,4534703.65,4188221621.1,4192756324.75,6399177822.55,,13305189.63,,,,,,,,
4,002049.SZ,20191024,20191024,20190930,1,1,606817968.0,619021334.29,2790470293.15,117924676.32,,695097875.96,61843609.62,500544829.42,1674615188.53,,119986668.07,,,771898571.29,,,,,,,,,29683540.39,3863975793.2,,,173398020.64,,,,,,,,,,,648819074.56,429687146.54,806682282.14,8719234.77,27853739.84,,10030520.91,2537146629.44,,,,,,,,,,,,,,,,,6401122422.64,28800000.0,148650470.0,,,,,232828953.65,509527991.13,34289961.35,,,141836711.0,61967642.05,5764000.0,,,,,,,,,,5000000.0,48120513.91,1252677128.21,300000000.0,,,,16998982.75,643868691.27,,990467674.02,,,,,,,,,,,,,,,,,2243144802.23,,,,,8176455.57,4149801164.84,4157977620.41,6401122422.64,,15566893.08,,,,,,,,
5,002049.SZ,20191024,20191024,20190930,1,1,606817968.0,619021334.29,2790470293.15,117924676.32,,695097875.96,61843609.62,500544829.42,1674615188.53,,119986668.07,,,771898571.29,,,,,,,,,29683540.39,3863975793.2,,,173398020.64,,,,,193261253.18,218529028.56,,,,,648819074.56,429687146.54,806682282.14,8719234.77,27853739.84,,10030520.91,2537146629.44,,,,,,,,,,,,,,,,,6401122422.64,28800000.0,148650470.0,,,,,232828953.65,509527991.13,34289961.35,,,141836711.0,61967642.05,5764000.0,,,,,,,,,,5000000.0,48120513.91,1252677128.21,300000000.0,,,,16998982.75,643868691.27,,990467674.02,,,,,,,,,,,,,,,,,2243144802.23,,,,,8176455.57,4149801164.84,4157977620.41,6401122422.64,,15566893.08,,,,,,,,
6,002049.SZ,20190822,20190822,20190630,1,1,606817968.0,619021334.29,2618188526.2,117924676.32,,778151588.19,58469082.54,345413892.37,1550425269.15,9552588.95,80000957.02,,,723376036.44,,,,,,,,,16079229.42,3561468644.08,,,174930422.77,,,,,190535465.72,155011561.71,,,,,674067699.94,367684758.29,806682282.14,9326294.26,25170823.79,,7673252.27,2431248889.19,,,,,,,,,,,,,,,,,5992717533.27,,78000000.0,,,,,267411520.16,438950449.21,41201414.36,,,104963701.17,37916459.23,1804000.0,,66367960.44,,,,,,,,,55497489.52,1092112994.09,300000000.0,,800000.0,,17237910.96,602112474.72,,920150385.68,,,,,,,,,,,,,,,,,2012263379.77,,,,,8827072.98,3971627080.52,3980454153.5,5992717533.27,,9674575.71,,,,,,,,
7,002049.SZ,20190822,20190822,20190630,1,1,606817968.0,619021334.29,2618188526.2,117924676.32,,778151588.19,,345413892.37,1550425269.15,,80000957.02,,,723376036.44,,,,,,,,,16079229.42,3561468644.08,,,174930422.77,,,,,,,,,,,674067699.94,367684758.29,806682282.14,9326294.26,25170823.79,,7673252.27,2431248889.19,,,,,,,,,,,,,,,,,5992717533.27,,78000000.0,,,,,267411520.16,438950449.21,41201414.36,,,104963701.17,37916459.23,1804000.0,,,,,,,,,,,55497489.52,1092112994.09,300000000.0,,,,17237910.96,602112474.72,,920150385.68,,,,,,,,,,,,,,,,,2012263379.77,,,,,8827072.98,3971627080.52,3980454153.5,5992717533.27,,9674575.71,,,,,,,,
8,002049.SZ,20190424,20190424,20190331,1,1,606817968.0,619021334.29,2521777275.59,117924676.32,,789613916.19,70177189.52,346995051.74,1317647059.8,,69795749.67,,,808547604.01,,,,,,,,,6571996.61,3418309785.06,,,176960632.6,,,,,192236619.33,86752376.63,,,,,699316313.88,292927895.38,806682282.14,8699205.2,20491031.54,,5500777.15,2309733462.15,,,,68550.01,,,,,,,,,,,,,5728043247.21,,42000000.0,,,,,,,54772334.41,,,61453528.21,69922747.04,13783166.67,,,,,,,,,,10000000.0,12434462.3,958191154.92,300000000.0,,,,17476839.17,575602814.37,,893879653.54,,,,,,,,,,,,,,,,,1852070808.46,,,,,6258866.55,3869713572.2,3875972438.75,5728043247.21,,4172318.0,,,,,,,,
9,002049.SZ,20190424,20190424,20190331,1,1,606817968.0,619021334.29,2521777275.59,117924676.32,,789613916.19,70177189.52,346995051.74,1317647059.8,,69795749.67,,,808547604.01,,,,,,,,,6571996.61,3418309785.06,,,176960632.6,,,,,,,,,,,699316313.88,292927895.38,806682282.14,8699205.2,20491031.54,,5500777.15,2309733462.15,,,,68550.01,,,,,,,,,,,,,5728043247.21,,42000000.0,,,,,,,54772334.41,,,61453528.21,69922747.04,13783166.67,,,,,,,,,,10000000.0,12434462.3,958191154.92,300000000.0,,,,17476839.17,575602814.37,,893879653.54,,,,,,,,,,,,,,,,,1852070808.46,,,,,6258866.55,3869713572.2,3875972438.75,5728043247.21,,4172318.0,,,,,,,,
