,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,002049.SZ,20200820,20200630,0.6624,0.6624,2.4132,2.4132,1.0201,0.2042,5.2424,45926344.22,356000542.97,806471868.34,2.944,2.3482,2.3022,0.9352,0.3311,7.471,0.2206,440426934.81,444525120.31,537301121.08,-181756402.4385,175034435.6415,1050679240.55,274690761.71,995245123.08,-31824638.7,3100106373.08,2932982280.17,2363957641.47,5554475427.84,3305104337.47,0.6624,7.4947,-0.4087,5.4466,-0.1164,0.7326,-0.2995,0.2884,27.4672,55.0731,44.9269,21.2117,27.4672,6.424,13.9705,0.8173,-1.5316,69.9237,29.9991,30.3562,9.2015,9.18,8.1501,6.6951,6.058,7.8518,18.403,13.3902,33.7306,1.509,1.52,64.5611,35.4389,45.0607,17.9179,81.8782,65.014,34.986,-0.1644,0.509,1.9598,4.5696,1.3359,3.1149,,-0.1069,433.6298,12.116,6.0536,474484148.23,29.915,7.3055,69.2448,4.747,4.0345,3.1129,4.0406,108.4986,108.4986,-44.7751,104.3841,103.8647,108.4706,63.32,-44.7829,82.0548,8.5889,7.5114,8.5879,-6.0754,-6.0754,-8.038,9.8127,14.5098
1,002049.SZ,20200424,20200331,0.3132,0.3132,1.0645,1.0645,1.0201,0.2042,4.9613,14130082.1,175953507.84,374952248.31,3.1231,2.428,2.356,0.4471,0.1482,3.3881,0.0978,188723688.31,210479624.14,,-233027163.731,-151415320.651,1046226156.99,648072779.56,730783280.08,-354248658.85,2621501666.78,2933770762.72,2184322103.87,5111894902.44,3134524662.04,0.3132,7.2138,-0.4632,5.1655,-0.0301,0.3469,-0.384,-0.2495,29.2906,58.0461,41.9539,26.7776,29.2906,5.3072,21.2546,0.2158,-0.5617,70.7838,32.4133,32.5842,4.4383,4.44,4.1083,3.1878,2.8656,3.827,17.7532,12.7512,35.6305,1.5535,1.5417,63.4067,36.5933,38.5164,14.2957,85.6327,56.9799,43.0201,-0.2034,0.5535,1.8051,5.9901,1.081,3.5872,,-0.1159,504.2255,11.4624,2.8789,457838257.43,32.3684,5.3072,70.7838,4.4383,4.1083,2.8656,-43.5115,183.4389,183.4389,9.2654,189.9622,190.1804,183.4149,366.67,9.2781,150.5415,4.519,6.3604,4.5183,-3.4651,-3.4651,-3.4651,289.208,13.1209
2,002049.SZ,20200402,20191231,0.6687,0.6687,5.6531,5.6531,1.0201,0.2042,4.6557,19011627.8,386750154.29,1227449806.44,2.7216,2.1878,2.1317,2.8551,0.8785,18.918,0.5658,532961166.16,458746749.17,591549839.59,-465846746.0789,-139707186.2689,1340310926.03,216939134.77,649171437.0,-530081761.7,2808931371.71,2786102964.65,1884821202.95,4841927761.75,2949077129.18,0.6687,6.9019,0.4382,4.8599,0.0637,0.756,-0.7677,-0.2302,11.6764,35.7814,64.2186,16.0213,11.6764,4.0951,11.0785,0.8477,-2.929,84.4636,13.3419,13.3729,10.1662,10.15,9.6898,7.5668,6.6069,8.9859,10.1662,7.5668,34.4798,1.5262,1.519,68.8274,31.1726,43.8952,13.4073,86.4991,73.3442,26.6558,0.1643,0.5262,1.8982,6.4516,1.2731,4.3269,,0.1205,261.1189,6.6069,6.6929,424149612.33,13.2978,5.96,81.9909,0.9758,0.2881,0.5787,53.6036,16.6202,16.6202,-16.5492,22.6761,22.2879,16.607,98.19,-16.5433,5.6418,10.3792,11.7561,10.3796,39.537,39.537,25.9262,-71.5294,10.3796
3,002049.SZ,20191024,20190930,0.6016,0.6016,4.1017,4.1017,1.0201,0.1943,4.5985,-9660580.32,374740202.7,891724301.84,3.0846,2.4684,2.3489,1.801,0.6848,12.6333,0.4105,363423024.41,416664712.34,,-686068682.2453,-526134095.3653,1099026658.21,661667674.02,482450470.0,-212647405.96,2228039686.99,2611298664.99,2069851259.03,4640428090.41,2908394969.47,0.6016,6.8386,-0.3934,4.7929,-0.6378,0.6866,-1.1306,-0.867,14.6045,35.8265,64.1735,16.1498,14.6045,3.3897,12.2446,0.5156,-3.3554,85.3989,16.2268,16.7402,9.1911,9.17,9.4343,6.8716,5.9949,8.5592,12.2548,9.1621,35.043,1.5395,1.5265,60.364,39.636,34.807,10.3967,89.4271,55.8447,44.1553,-0.1905,0.5395,1.85,8.6015,0.9933,4.6182,,-0.1064,281.8042,7.9932,6.0209,411790281.74,16.2246,3.4309,81.3425,4.2426,3.8605,2.7696,-7.2488,26.8663,26.8663,-126.8743,28.4873,28.4239,26.8774,146.94,-126.823,14.8847,9.3669,11.79,9.367,45.4845,45.4845,41.3827,32.3841,10.439
4,002049.SZ,20190822,20190630,0.3177,0.3177,2.5693,2.5693,1.0201,0.1943,4.3146,-25177382.43,217975237.86,558601500.73,3.2611,2.5987,2.5107,1.1812,0.4476,7.9685,0.2661,204666675.87,213961914.55,279232371.23,-463967522.7082,-408483405.8282,1014112994.09,620150385.68,378000000.0,-400151588.19,2088695222.1,2469355649.99,1769204061.8,4358454153.5,2736113202.52,0.3177,6.545,-0.2823,4.509,-0.5311,0.3526,-0.7646,-0.6732,12.3069,35.8288,64.1712,16.3536,12.3069,3.3651,12.4503,0.5383,-5.2528,86.8726,13.7861,13.7236,4.9652,4.94,5.6136,3.6516,3.2747,4.505,9.9304,7.3032,33.5785,1.5055,1.509,59.4299,40.5701,34.8539,8.6728,91.1247,54.2729,45.7271,-0.1568,0.5055,1.9737,10.5069,1.038,5.5256,,-0.0851,288.4007,6.5494,3.2904,345547027.43,13.7824,3.1849,81.8208,3.2068,4.598,2.1337,15.5652,61.0238,61.0238,-103.6797,61.3647,61.2095,61.0197,110.66,-103.7205,49.0196,4.6714,4.6576,4.6713,48.0463,48.0463,65.5464,97.6638,8.0526
5,002049.SZ,20190424,20190331,0.1105,0.1105,1.1027,1.1027,1.0201,0.1943,4.1557,29365003.45,37704011.89,181011994.61,3.5675,2.7236,2.6439,0.556,0.1961,3.4052,0.1168,42882003.51,74305056.34,,-462252193.3475,-432768076.4675,906191154.92,593879653.54,352000000.0,-437613916.19,2041596844.06,2460118630.14,1722504713.95,4227972438.75,2639701951.91,0.1105,6.3771,-0.5105,4.3501,-0.4908,0.1225,-0.7618,-0.7132,9.988,27.0513,72.9487,13.4536,9.988,3.6048,9.5123,0.3365,5.3887,93.5915,10.7911,11.1045,1.7502,1.75,0.9839,1.2974,1.167,1.6506,7.0008,5.1896,32.3334,1.4778,1.4945,59.6767,40.3233,35.6421,8.3255,91.5265,51.7362,48.2638,-0.3233,0.4778,2.0894,10.9935,1.1023,5.8,,-0.1673,309.0977,4.668,1.1711,278988995.96,10.7681,3.6048,93.5915,1.7502,0.9839,1.167,-46.2995,41.4853,41.4853,-242.3877,36.3968,35.2877,41.5216,-3.82,-242.521,28.9869,1.9863,0.0353,1.9854,29.7976,29.7976,29.7976,22.4335,9.7178
6,002049.SZ,20190411,20181231,0.5734,0.5734,4.0513,4.0513,1.0201,0.1943,3.985,152831483.83,195142278.58,741153695.31,3.3125,2.5454,2.4863,2.579,0.7998,10.3538,0.4497,210788653.0,380243559.93,542016346.55,-66321910.8526,1356699.2674,1005402413.15,597181784.1,322515883.12,-807802945.08,2013356722.79,2377100874.86,1269297929.78,4123438268.19,2536097908.34,0.5734,6.2529,0.5251,4.1793,0.1105,0.6266,-0.1093,0.0022,14.1779,30.1475,69.8525,18.4551,14.1779,3.7611,14.6979,-0.004,2.5165,91.4259,15.1757,15.467,9.5479,9.56,5.3544,6.9559,6.3761,8.9802,9.5479,6.9559,33.6202,1.5065,1.4999,59.4657,40.5343,35.1615,7.8215,92.0198,53.3956,46.6044,0.31,0.5065,1.971,11.7649,1.0458,6.2427,,0.1655,285.1965,6.3761,6.3655,260086211.82,15.1735,3.7999,94.4086,1.5951,1.1491,1.0854,56.6998,24.3278,24.3278,-45.4612,18.8238,17.9653,24.3264,-13.18,-45.4598,14.5051,8.5761,9.9673,8.5772,34.4065,34.4065,43.3624,-67.4509,8.5772
7,002049.SZ,20181027,20180930,0.4742,0.4742,2.8194,2.8194,1.0201,0.1887,3.8914,135988801.18,151753153.57,512073289.68,3.5763,2.7326,2.5983,1.6258,0.5883,7.2796,0.3224,168988642.18,310789175.48,,-457601151.5497,-349438424.5497,796014654.18,482114486.19,363402294.89,-382511135.9,1981188793.67,2214085984.66,1531574848.76,4127318185.57,2475866100.68,0.4742,6.1922,-0.1734,4.0801,-0.4898,0.5122,-0.7541,-0.5759,16.8422,29.9311,70.0689,15.2782,16.8422,3.7442,11.7481,-0.2141,4.1573,90.1225,18.3597,18.1659,7.9353,7.94,4.185,5.8571,5.4303,7.1946,10.5804,7.8095,30.3681,1.4361,1.4633,56.8594,43.1406,36.6517,8.8048,91.041,52.3546,47.6454,-0.1224,0.4361,2.2891,10.3399,1.2069,5.4518,,-0.0641,315.3506,7.2404,5.4227,236818916.43,18.38,2.8951,91.17,4.5204,1.2991,3.0434,-3.2163,35.0612,35.0612,-132.7974,30.8563,30.9731,35.0661,-13.88,-132.7998,21.4047,7.5221,3.8107,7.5233,30.835,30.835,29.7054,126.5775,11.2528
8,002049.SZ,20180824,20180630,0.1973,0.1973,1.7355,1.7355,1.0201,0.1887,3.6145,16262973.09,103472619.76,284779751.18,3.3341,2.5524,2.4246,1.1112,0.3639,3.9525,0.1932,110910988.68,136250535.97,202541785.99,-325032481.7861,-78869754.7861,711193405.78,767042011.11,502047333.35,-426525521.2,1525273679.18,2131612815.12,1405087293.92,4217060812.18,2307859738.78,0.1973,6.0572,-0.1386,3.8032,-0.1429,0.2245,-0.5356,-0.13,11.3213,27.0419,72.9581,15.5023,11.3213,4.2746,11.1005,0.1272,0.4141,89.4682,12.6207,12.938,3.3398,3.34,2.8862,2.4995,2.1872,3.0443,6.6796,4.999,34.7705,1.533,1.5205,53.4626,46.5374,26.7813,11.9051,87.1612,46.1167,53.8833,-0.0921,0.533,1.8561,7.3213,0.7702,3.0381,,-0.0425,315.9648,4.3744,2.1965,262505846.36,12.6571,4.8667,87.4364,2.0088,1.7846,1.3284,1.1849,-3.0467,-3.0467,-140.6094,-4.2793,-4.0436,-3.0331,3.67,-140.5938,-13.1919,5.178,9.3772,5.1794,31.5506,31.5506,34.8453,51.0597,11.7027
9,002049.SZ,20180421,20180331,0.0781,0.0781,0.8496,0.8496,1.0201,0.1887,3.5453,8188136.97,39203234.91,132214420.76,3.1307,2.4385,2.3516,0.5732,0.1891,1.9338,0.0992,43371534.88,66352619.36,,-250922040.6754,-236759313.6754,606672061.56,746545010.49,269000000.0,-558768211.36,1442218192.6,1844454908.87,1275686697.51,3835394096.67,2265856416.21,0.0781,5.8122,-0.1491,3.734,-0.2709,0.1093,-0.4135,-0.3902,9.1037,25.6464,74.3536,16.1733,9.1037,3.6571,9.9764,2.5397,0.4154,91.587,10.269,12.8708,1.3499,1.35,1.1166,1.2765,0.9029,1.5337,5.3996,5.106,31.265,1.4549,1.4805,52.2322,47.7678,27.7958,7.0136,91.9585,53.3635,46.6365,-0.1045,0.4549,2.1742,13.1114,0.889,5.3614,,-0.0558,297.8584,3.6116,0.9118,262071585.83,10.3311,3.6571,91.587,1.3499,1.1166,0.9029,-17.5451,-11.3507,-11.3507,-494.4444,-11.9798,-11.5273,-11.3106,-5.63,-494.0039,-17.8722,0.9238,-0.3536,0.9251,28.2821,28.2821,28.2821,-27.843,7.9895
