,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002049.SZ,20200820,20200820,20200630,1,1,0.6624,0.6624,1464365307.19,1464365307.19,,,,,,,,,,,,,,,,-11776772.96,-29279824.11,,1023938372.38,657893438.85,,,12911059.94,94070770.97,61772197.87,11967642.71,-22427531.53,,,,,,,,,,,439296487.05,14689.2,1246841.06,,438064335.19,35844593.69,402219741.5,401926887.19,292854.31,3653917.41,405873658.91,405580804.6,292854.31,483181892.46,575957893.23,,,
1,002049.SZ,20200424,20200424,20200331,1,1,0.3132,0.3132,645956365.3,645956365.3,,,,,,,,,,,,,,,-13297790.83,21123712.53,3673666.37,,457232676.99,271004116.99,,,5059379.24,34282158.05,30041651.84,1394062.31,-3628571.52,,,,,,,,,,,209375560.87,10000.96,300000.0,,209085561.83,19881097.76,189204464.07,190083589.94,-879125.87,3786890.62,192991354.69,193870480.56,-879125.87,211135769.94,,,,
2,002049.SZ,20200402,20200820,20191231,1,1,0.6687,0.6687,3430409964.8,3430409964.8,,,,,,,,,,,,,,,952670.91,-95524408.6,-125819606.52,,2897448798.64,2202960158.36,,,22222198.4,140477222.14,202569584.96,29078170.9,-100475243.56,,,,,,,,,,,457682174.31,733677.11,2245873.84,,456169977.58,55622988.29,400546989.29,405761782.09,-5214792.8,4580186.6,405127175.89,410341968.69,-5214792.8,603532511.99,736335602.41,,,
3,002049.SZ,20200402,20200402,20191231,1,1,0.6687,0.6687,3430409964.8,3430409964.8,,,,,,,,,,,,,,,952670.91,-95524408.6,-125819606.52,,2925427376.0,2204127609.21,,,22222198.4,140477222.14,205011316.12,29078170.9,-100475243.56,,,,,,,,,,,457682174.31,733677.11,2245873.84,,456169977.58,55622988.29,400546989.29,405761782.09,-5214792.8,4580186.6,405127175.89,410341968.69,-5214792.8,603532511.99,736335602.41,,,
4,002049.SZ,20191024,20191024,20190930,1,1,0.6016,0.6016,2489007395.37,2489007395.37,,,,,,,,,,,,,,,4226658.32,3567042.27,-5115926.82,,2125584370.96,1597283093.53,,,17792441.04,84369261.0,168759959.25,12832137.49,-83516526.69,,,,,,,,,,,403886882.29,117700.38,172007.82,,403832574.85,40325993.35,363506581.5,365079622.38,-1573040.88,6841890.05,370348471.55,371921512.43,-1573040.88,517428121.69,,,,
5,002049.SZ,20190822,20200820,20190630,1,1,0.3177,0.3177,1559085488.21,1559085488.21,,,,,,,,,,,,,,,2371363.32,4634465.07,-3583524.69,,1354418812.34,1000483987.48,,,11320557.58,52464928.62,144412308.62,8391864.05,-81895194.75,,,,,,,,,,,214936675.97,112700.38,169449.37,,214879926.98,23004495.02,191875431.96,192797855.43,-922423.47,949572.68,192825004.64,193747428.11,-922423.47,222038581.66,287309038.34,,,
6,002049.SZ,20190822,20190822,20190630,1,1,0.3177,0.3177,1559085488.21,1559085488.21,,,,,,,,,,,,,,,2371363.32,4634465.07,-3583524.69,,1369162745.8,1002257521.92,,,11320557.58,52464928.62,145624379.66,8391864.05,81895194.75,,,,,,,,,,,214936675.97,112700.38,169449.37,,214879926.98,23004495.02,191875431.96,191875431.96,,949572.68,192825004.64,193747428.11,-922423.47,,,,,
7,002049.SZ,20190424,20190424,20190331,1,1,0.1105,0.1105,669142960.93,669142960.93,,,,,,,,,,,,,,,16869265.97,3674032.62,-1553314.86,,626260957.42,488130966.32,,,8049081.09,24121477.52,53584487.37,2251401.26,36057798.89,,,,,,,,,,,72207871.43,12000.01,166216.36,,72053655.08,5219428.93,66834226.15,67069015.34,-234789.19,-4552685.03,62281541.12,62516330.31,-234789.19,,,,,
8,002049.SZ,20190424,20190424,20190331,1,1,0.1105,0.1105,669142960.93,669142960.93,,,,,,,,,,,,,,,16869265.97,3674032.62,-1553314.86,,626260957.42,488130966.32,,,8049081.09,24121477.52,53584487.37,2251401.26,36057798.89,,,,,,,,,,,72207871.43,12000.01,166216.36,,72053655.08,5219428.93,66834226.15,67069015.34,-234789.19,-4552685.03,62281541.12,62516330.31,-234789.19,93976823.47,,,,
9,002049.SZ,20190411,20190411,20181231,1,1,0.5734,0.5734,2458423475.06,2458423475.06,,,,,,,,,,,,,,,,111690583.22,-3489719.55,,2247634822.06,1717269779.75,,,14795659.85,92464972.85,232116500.7,-98099.18,61865240.99,,,,,,,,,,,373081881.23,125020.2,177230.84,,373029670.59,24476620.85,348553049.74,347973762.41,579287.33,-17892253.62,330660796.12,330081508.79,579287.33,303346297.94,465119084.56,,,
10,002049.SZ,20181027,20181027,20180930,1,1,0.4742,0.4742,1710840607.63,1710840607.63,,,,,,,,,,,,,,,-687294.89,110878207.4,,,1541851965.45,1198767317.95,,,10574655.24,64057590.46,133876554.03,-3663533.39,71124698.82,,,,,,,,,,,314104669.37,354298.22,6258.72,,314452708.87,26308781.97,288143926.9,287741954.75,401972.15,5510374.83,293654301.73,293252329.58,401972.15,271294327.67,,,,
