,date,on,1w,2w,1m,3m,6m,9m,1y
0,20200903,1.742,2.197,2.187,2.39,2.654,2.863,2.914,2.951
1,20200902,2.094,2.201,2.226,2.38,2.646,2.852,2.905,2.945
2,20200901,2.104,2.211,2.242,2.372,2.64,2.847,2.901,2.942
3,20200831,1.766,2.228,2.349,2.374,2.636,2.844,2.893,2.933
4,20200828,1.345,2.235,2.338,2.366,2.63,2.834,2.883,2.922
5,20200827,1.477,2.182,2.398,2.367,2.621,2.825,2.871,2.917
6,20200826,1.63,2.222,2.468,2.37,2.612,2.82,2.859,2.907
7,20200825,1.969,2.241,2.553,2.368,2.606,2.819,2.856,2.905
8,20200824,2.3595,2.23,2.548,2.364,2.604,2.81,2.853,2.901
9,20200821,2.258,2.28,2.422,2.339,2.601,2.802,2.849,2.9
10,20200820,2.172,2.249,2.341,2.316,2.601,2.8,2.845,2.896
11,20200819,2.148,2.204,2.248,2.307,2.6,2.795,2.84,2.893
12,20200818,2.115,2.19,2.231,2.304,2.6,2.788,2.831,2.886
13,20200817,2.128,2.213,2.276,2.305,2.602,2.779,2.822,2.878
14,20200814,2.175,2.222,2.307,2.306,2.601,2.778,2.814,2.872
15,20200813,2.162,2.237,2.284,2.3,2.601,2.769,2.811,2.866
16,20200812,2.152,2.246,2.271,2.3,2.601,2.764,2.809,2.862
17,20200811,2.201,2.249,2.197,2.299,2.6,2.757,2.803,2.855
18,20200810,2.129,2.202,2.098,2.295,2.601,2.755,2.803,2.853
19,20200807,2.057,2.205,2.052,2.286,2.603,2.755,2.802,2.852
20,20200806,1.661,2.074,2.021,2.286,2.6,2.749,2.797,2.85
21,20200805,1.69,2.062,2.035,2.281,2.6,2.744,2.79,2.846
22,20200804,1.925,2.143,2.043,2.286,2.598,2.733,2.778,2.837
23,20200803,1.57,2.043,1.946,2.282,2.595,2.715,2.763,2.828
24,20200731,1.788,2.236,2.247,2.295,2.593,2.709,2.76,2.828
25,20200730,1.369,2.183,2.24,2.288,2.59,2.705,2.756,2.82
26,20200729,1.45,2.174,2.281,2.276,2.586,2.7,2.752,2.815
27,20200728,1.753,2.2,2.278,2.267,2.578,2.697,2.745,2.807
28,20200727,1.994,2.202,2.289,2.258,2.574,2.69,2.738,2.804
29,20200724,1.843,2.147,2.234,2.245,2.557,2.676,2.727,2.796
30,20200723,1.858,2.207,2.192,2.239,2.541,2.654,2.709,2.783
31,20200722,1.336,2.008,2.187,2.225,2.501,2.621,2.687,2.758
32,20200721,1.584,2.101,2.215,2.223,2.466,2.565,2.651,2.727
33,20200720,1.9565,2.183,2.306,2.214,2.404,2.49,2.585,2.671
34,20200717,2.328,2.227,2.423,2.198,2.356,2.441,2.542,2.637
35,20200716,2.2465,2.249,2.197,2.145,2.286,2.377,2.479,2.574
36,20200715,2.022,2.15,2.113,2.1,2.241,2.334,2.438,2.516
37,20200714,1.67,2.148,2.094,2.077,2.192,2.292,2.404,2.48
38,20200713,2.128,2.201,2.216,2.057,2.163,2.264,2.385,2.455
39,20200710,2.197,2.203,1.957,2.035,2.143,2.241,2.367,2.433
40,20200709,2.189,2.192,2.048,2.013,2.122,2.222,2.353,2.42
41,20200708,2.088,2.137,1.872,1.998,2.111,2.209,2.335,2.404
42,20200707,1.706,2.092,1.72,1.998,2.103,2.196,2.318,2.392
43,20200706,1.346,1.794,1.624,1.997,2.104,2.19,2.305,2.384
44,20200703,1.364,1.98,1.685,2.011,2.105,2.186,2.301,2.376
45,20200702,1.745,2.006,1.823,2.038,2.113,2.181,2.297,2.368
46,20200701,1.967,2.095,1.984,2.071,2.122,2.178,2.299,2.361
47,20200630,1.785,2.228,2.282,2.083,2.126,2.168,2.296,2.358
48,20200629,1.012,2.181,2.156,2.096,2.127,2.166,2.29,2.35
49,20200624,1.54,2.173,2.284,2.098,2.121,2.16,2.28,2.344
50,20200623,1.971,2.15,2.419,2.08,2.109,2.152,2.265,2.325
51,20200622,2.133,2.15,2.205,2.057,2.097,2.142,2.253,2.308
52,20200619,2.131,2.147,2.156,2.048,2.095,2.132,2.249,2.3
53,20200618,2.123,2.1,2.096,2.023,2.078,2.115,2.223,2.285
54,20200617,2.048,2.057,1.832,1.993,2.056,2.095,2.207,2.266
55,20200616,1.751,1.891,1.757,1.95,2.019,2.062,2.166,2.23
56,20200615,1.477,1.855,1.79,1.916,1.987,2.03,2.141,2.207
57,20200612,1.529,2.016,1.859,1.899,1.956,2.004,2.106,2.189
58,20200611,1.757,2.021,1.848,1.86,1.904,1.953,2.051,2.138
59,20200610,1.849,1.98,1.8,1.791,1.816,1.861,1.947,2.053
60,20200609,1.833,1.947,1.758,1.741,1.727,1.788,1.884,2.007
61,20200608,1.89,1.942,1.69,1.647,1.658,1.737,1.83,1.957
62,20200605,1.582,1.987,1.705,1.582,1.594,1.668,1.773,1.903
63,20200604,1.963,2.001,1.604,1.513,1.536,1.619,1.745,1.851
64,20200603,1.885,1.971,1.579,1.455,1.494,1.596,1.723,1.826
65,20200602,1.468,1.673,1.44,1.422,1.462,1.575,1.69,1.801
66,20200601,1.629,1.959,1.724,1.424,1.456,1.566,1.678,1.788
67,20200529,2.097,2.151,1.925,1.43,1.453,1.552,1.667,1.774
68,20200528,2.102,2.179,1.847,1.412,1.43,1.525,1.64,1.748
69,20200527,2.104,2.018,1.75,1.39,1.415,1.518,1.626,1.739
70,20200526,1.88,1.908,1.491,1.342,1.405,1.503,1.611,1.723
71,20200525,1.473,1.785,1.34,1.316,1.4,1.497,1.6,1.71
72,20200522,1.094,1.595,1.313,1.307,1.4,1.493,1.6,1.704
73,20200521,1.104,1.556,1.314,1.303,1.4,1.493,1.6,1.701
74,20200520,1.22,1.534,1.321,1.301,1.399,1.492,1.599,1.699
75,20200519,1.385,1.521,1.274,1.3,1.399,1.492,1.598,1.698
76,20200518,0.905,1.563,1.265,1.3,1.398,1.492,1.598,1.699
