,signal
20191105,0.0
20191106,1.0
20191107,1.0
20191108,1.0
20191111,1.0
20191112,1.0
20191113,1.0
20191114,1.0
20191115,1.0
20191118,0.0
20191119,0.0
20191120,0.0
20191121,1.0
20191122,1.0
20191125,1.0
20191126,0.0
20191127,0.0
20191128,0.0
20191129,0.0
20191202,0.0
20191203,0.0
20191204,0.0
20191205,0.0
20191206,0.0
20191209,0.0
20191210,0.0
20191211,0.0
20191212,0.0
20191213,0.0
20191216,0.0
20191217,0.0
20191218,0.0
20191219,0.0
20191220,0.0
20191223,0.0
20191224,0.0
20191225,0.0
20191226,0.0
20191227,0.0
20191230,0.0
20191231,0.0
20200102,0.0
20200103,0.0
20200106,0.0
20200107,0.0
20200108,0.0
20200109,0.0
20200110,0.0
20200113,0.0
20200114,0.0
20200115,0.0
20200116,0.0
20200117,0.0
20200120,0.0
20200121,0.0
20200122,0.0
20200123,0.0
20200203,1.0
20200204,0.0
20200205,1.0
20200206,0.0
20200207,0.0
20200210,0.0
20200211,0.0
20200212,0.0
20200213,0.0
20200214,0.0
20200217,0.0
20200218,0.0
20200219,0.0
20200220,0.0
20200221,0.0
20200224,0.0
20200225,0.0
20200226,0.0
20200227,0.0
20200228,0.0
20200302,0.0
20200303,0.0
20200304,0.0
20200305,0.0
20200306,0.0
20200309,0.0
20200310,0.0
20200311,0.0
20200312,1.0
20200313,1.0
20200316,1.0
20200317,1.0
20200318,0.0
20200319,0.0
20200320,0.0
20200323,0.0
20200324,0.0
20200325,1.0
20200326,1.0
20200327,1.0
20200330,1.0
20200331,1.0
20200401,1.0
20200402,0.0
20200403,0.0
20200407,0.0
20200408,0.0
20200409,0.0
20200410,0.0
20200413,0.0
20200414,0.0
20200415,0.0
20200416,0.0
20200417,0.0
20200420,0.0
20200421,0.0
20200422,0.0
20200423,0.0
20200424,1.0
20200427,1.0
20200428,0.0
20200429,0.0
20200430,0.0
20200506,0.0
20200507,0.0
20200508,0.0
20200511,0.0
20200512,0.0
20200513,0.0
20200514,0.0
20200515,0.0
20200518,0.0
20200519,0.0
20200520,0.0
20200521,0.0
20200522,0.0
20200525,0.0
20200526,0.0
20200527,0.0
20200528,0.0
20200529,0.0
20200601,0.0
20200602,0.0
20200603,0.0
20200604,0.0
20200608,0.0
20200609,0.0
20200610,0.0
20200611,1.0
20200612,0.0
20200615,1.0
20200616,1.0
20200617,0.0
20200618,0.0
20200619,0.0
20200622,0.0
20200623,0.0
20200624,0.0
20200629,0.0
20200630,0.0
20200701,0.0
20200702,0.0
20200703,0.0
20200706,0.0
20200707,0.0
20200708,0.0
20200709,0.0
20200710,0.0
20200713,0.0
20200714,0.0
20200715,0.0
20200716,0.0
20200717,0.0
20200720,0.0
20200721,1.0
20200722,0.0
20200723,0.0
20200724,0.0
20200727,0.0
20200728,0.0
20200729,0.0
20200730,0.0
20200731,0.0
20200803,0.0
20200804,0.0
20200805,0.0
20200806,0.0
20200807,0.0
20200810,0.0
20200811,0.0
20200812,0.0
20200813,0.0
20200814,0.0
20200817,0.0
20200818,0.0
20200819,0.0
20200820,0.0
20200821,0.0
20200824,0.0
20200825,0.0
20200826,1.0
20200827,0.0
20200828,0.0
20200831,0.0
20200901,0.0
20200902,0.0
20200903,0.0
20200904,0.0
