,stock_close,index_close,buy_signal
20191105,52.2,4002.8128,0.0
20191106,46.98,3984.8816,1.0
20191107,47.42,3991.8749,1.0
20191108,47.5,3973.0107,1.0
20191111,45.14,3902.9783,1.0
20191112,45.41,3903.6888,1.0
20191113,45.9,3899.9815,1.0
20191114,46.45,3905.857,1.0
20191115,45.88,3877.0892,1.0
20191118,45.75,3907.9291,0.0
20191119,46.38,3947.0392,0.0
20191120,45.62,3907.8641,0.0
20191121,45.1,3889.598,1.0
20191122,43.87,3849.9948,1.0
20191125,43.26,3878.2061,1.0
20191126,44.1,3891.6533,0.0
20191127,44.99,3875.6186,0.0
20191128,44.45,3862.3029,0.0
20191129,44.8,3828.6706,0.0
20191202,45.19,3836.0589,0.0
20191203,45.63,3851.0873,0.0
20191204,47.35,3849.8190000000004,0.0
20191205,47.68,3879.3638,0.0
20191206,49.96,3902.3853,0.0
20191209,49.78,3895.4468,0.0
20191210,50.43,3900.3843,0.0
20191211,48.91,3902.7492,0.0
20191212,49.66,3891.0242,0.0
20191213,50.25,3968.2211,0.0
20191216,51.48,3987.5464,0.0
20191217,51.03,4041.7996,0.0
20191218,50.9,4032.7826,0.0
20191219,49.79,4027.1495,0.0
20191220,49.57,4017.2527,0.0
20191223,49.79,3967.0962,0.0
20191224,49.45,3992.9581,0.0
20191225,53.1,3990.8671,0.0
20191226,52.91,4025.9879,0.0
20191227,51.69,4022.0278,0.0
20191230,51.4,4081.6334,0.0
20191231,50.84,4096.5821,0.0
20200102,52.29,4152.2408,0.0
20200103,51.96,4144.9649,0.0
20200106,52.08,4129.2954,0.0
20200107,52.34,4160.2274,0.0
20200108,50.3,4112.3172,0.0
20200109,51.18,4164.3697,0.0
20200110,52.34,4163.1849,0.0
20200113,54.5,4203.9883,0.0
20200114,52.95,4189.8862,0.0
20200115,54.79,4166.7344,0.0
20200116,54.65,4149.0434,0.0
20200117,53.9,4154.853,0.0
20200120,55.98,4185.8304,0.0
20200121,56.97,4114.3085,0.0
20200122,58.76,4131.9311,0.0
20200123,55.84,4003.9013,0.0
20200203,50.26,3688.3578,1.0
20200204,50.88,3785.6376,0.0
20200205,50.37,3828.5272,1.0
20200206,51.79,3899.7751,0.0
20200207,55.26,3899.8693,0.0
20200210,55.03,3916.0052,0.0
20200211,54.3,3952.4643,0.0
20200212,56.4,3984.4325,0.0
20200213,57.2,3959.9188,0.0
20200214,57.4,3987.7342,0.0
20200217,58.65,4077.4241,0.0
20200218,61.35,4057.5108,0.0
20200219,64.07,4051.3107,0.0
20200220,64.35,4144.6561,0.0
20200221,66.3,4149.4903,0.0
20200224,69.9,4132.8388,0.0
20200225,68.01,4123.8543,0.0
20200226,61.57,4073.0152,0.0
20200227,61.98,4084.8759,0.0
20200228,57.95,3940.0488,0.0
20200302,60.0,4069.6662,0.0
20200303,59.83,4091.3615,0.0
20200304,58.9,4115.0524,0.0
20200305,59.19,4206.7251,0.0
20200306,57.88,4138.5072,0.0
20200309,53.58,3997.1325,0.0
20200310,56.52,4082.7315,0.0
20200311,55.1,4028.4289,0.0
20200312,54.54,3950.9111,1.0
20200313,55.15,3895.3128,1.0
20200316,51.63,3727.8398,1.0
20200317,52.87,3709.6822,1.0
20200318,55.55,3636.2565,0.0
20200319,56.93,3589.0926,0.0
20200320,56.08,3653.2239,0.0
20200323,51.5,3530.3058,0.0
20200324,52.28,3625.1146,0.0
20200325,52.78,3722.5181,1.0
20200326,52.0,3698.0472,1.0
20200327,51.3,3710.0605,1.0
20200330,49.85,3674.1108,1.0
20200331,49.9,3686.1551,1.0
20200401,49.98,3675.0758,1.0
20200402,54.98,3734.5306,0.0
20200403,58.75,3713.2183,0.0
20200407,62.17,3798.0214,0.0
20200408,62.2,3780.3445,0.0
20200409,61.08,3792.8105,0.0
20200410,59.57,3769.1782,0.0
20200413,59.68,3753.2566,0.0
20200414,61.12,3825.6991,0.0
20200415,58.0,3797.3623,0.0
20200416,59.63,3802.3806,0.0
20200417,59.47,3839.4871,0.0
20200420,62.4,3853.4551,0.0
20200421,60.68,3808.0474,0.0
20200422,61.03,3839.3834,0.0
20200423,59.32,3829.7525,0.0
20200424,55.8,3796.9721,1.0
20200427,55.56,3822.7690000000002,1.0
20200428,59.68,3849.1465,0.0
20200429,58.95,3867.032,0.0
20200430,61.58,3912.5772,0.0
20200506,63.62,3936.2539,0.0
20200507,62.61,3924.8946,0.0
20200508,62.88,3963.6217,0.0
20200511,62.3,3960.1803,0.0
20200512,68.53,3960.2378,0.0
20200513,69.98,3968.2529,0.0
20200514,69.41,3925.2177,0.0
20200515,70.18,3912.8159,0.0
20200518,68.5,3922.9117,0.0
20200519,75.35,3956.2495,0.0
20200520,75.4,3935.222,0.0
20200521,73.21,3913.7949,0.0
20200522,72.1,3824.0640000000003,0.0
20200525,70.42,3829.3245,0.0
20200526,71.31,3872.7701,0.0
20200527,69.01,3845.6135,0.0
20200528,70.77,3856.6324,0.0
20200529,68.9,3867.0232,0.0
20200601,72.64,3971.3402,0.0
20200602,72.69,3983.5677,0.0
20200603,74.29,3983.6477,0.0
20200604,72.9,3982.1851,0.0
20200608,66.26,4021.9549,0.0
20200609,66.76,4047.0293,0.0
20200610,65.93,4039.7051,0.0
20200611,64.58,3995.8846,1.0
20200612,63.91,4003.0829,0.0
20200615,61.87,3954.9883,1.0
20200616,63.59,4014.5702,1.0
20200617,65.0,4017.5941,0.0
20200618,65.55,4044.3842,0.0
