,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002049.SZ,20200904,121.48,128.5,121.0,124.42,123.3,1.12,0.9084,162123.27,2033883.581
1,002049.SZ,20200903,125.0,125.56,121.46,123.3,125.64,-2.34,-1.8625,121620.04,1499698.505
2,002049.SZ,20200902,128.96,128.98,124.5,125.64,128.22,-2.58,-2.0122,116487.38,1467161.225
3,002049.SZ,20200901,124.9,129.56,124.0,128.22,125.3,2.92,2.3304,156688.42,2001820.789
4,002049.SZ,20200831,129.0,129.4,125.3,125.3,127.69,-2.39,-1.8717,129152.12,1650964.628
5,002049.SZ,20200828,124.6,128.89,123.12,127.69,126.37,1.32,1.0446,167495.57,2117927.808
6,002049.SZ,20200827,121.01,128.8,117.33,126.37,120.96,5.41,4.4726,259696.41,3236328.445
7,002049.SZ,20200826,123.34,125.5,120.21,120.96,121.98,-1.02,-0.8362,172744.2,2117323.913
8,002049.SZ,20200825,127.2,127.88,121.3,121.98,126.68,-4.7,-3.7101,219312.53,2712937.101
9,002049.SZ,20200824,127.58,129.83,125.19,126.68,128.42,-1.74,-1.3549,170276.17,2170120.125
10,002049.SZ,20200821,134.12,135.45,123.97,128.42,133.65,-5.23,-3.9132,317224.31,4099970.756
11,002049.SZ,20200820,135.88,138.3,131.0,133.65,136.0,-2.35,-1.7279,193592.21,2620371.407
12,002049.SZ,20200819,142.0,143.87,135.5,136.0,144.37,-8.37,-5.7976,257681.72,3564296.405
13,002049.SZ,20200818,143.94,150.58,142.0,144.37,143.91,0.46,0.3196,261533.69,3836841.398
14,002049.SZ,20200817,137.5,146.5,137.0,143.91,137.5,6.41,4.6618,239533.05,3396249.633
15,002049.SZ,20200814,133.26,139.07,133.0,137.5,136.15,1.35,0.9916,186873.22,2561852.244
16,002049.SZ,20200813,136.99,142.48,135.1,136.15,137.73,-1.58,-1.1472,230813.04,3202223.796
17,002049.SZ,20200812,140.0,142.92,130.0,137.73,142.01,-4.28,-3.0139,326872.14,4410110.951
18,002049.SZ,20200811,141.0,149.26,138.5,142.01,145.21,-3.2,-2.2037,325043.71,4670639.66
19,002049.SZ,20200810,151.09,160.0,142.72,145.21,156.0,-10.79,-6.9167,471214.4,7094431.573
20,002049.SZ,20200807,149.33,160.8,141.66,156.0,146.18,9.82,6.7177,637808.82,9571534.739
21,002049.SZ,20200806,132.84,146.18,130.01,146.18,132.89,13.29,10.0008,559358.51,8001466.172
22,002049.SZ,20200805,131.1,138.2,128.0,132.89,127.1,5.79,4.5555,416737.45,5549093.543
23,002049.SZ,20200804,138.89,138.9,126.1,127.1,139.52,-12.42,-8.9019,487453.79,6445595.734
24,002049.SZ,20200803,130.0,139.52,127.0,139.52,126.84,12.68,9.9968,509100.93,6880440.462
25,002049.SZ,20200731,125.0,127.7,123.83,126.84,123.98,2.86,2.3068,294131.99,3705242.547
26,002049.SZ,20200730,128.88,128.88,123.0,123.98,128.99,-5.01,-3.884,311018.36,3881934.428
27,002049.SZ,20200729,126.0,132.41,124.88,128.99,126.19,2.8,2.2189,371977.55,4773282.389
28,002049.SZ,20200728,127.5,128.4,121.19,126.19,126.0,0.19,0.1508,249113.55,3095413.847
29,002049.SZ,20200727,116.0,128.43,115.81,126.0,116.75,9.25,7.9229,452461.04,5676227.965
30,002049.SZ,20200724,122.3,125.98,115.88,116.75,124.1,-7.35,-5.9226,372408.34,4537185.356
31,002049.SZ,20200723,123.0,124.47,117.1,124.1,124.1,0.0,0.0,340411.88,4131317.981
32,002049.SZ,20200722,123.02,128.7,123.02,124.1,124.5,-0.4,-0.3213,277206.21,3489706.825
33,002049.SZ,20200721,130.33,130.78,121.6,124.5,126.5,-2.0,-1.581,354606.27,4447334.333
34,002049.SZ,20200720,120.0,126.5,118.89,126.5,115.0,11.5,10.0,392007.98,4846218.412
35,002049.SZ,20200717,113.5,118.58,108.01,115.0,114.23,0.77,0.6741,402009.02,4604030.436
