,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,399300.SZ,20200904,4770.219,4737.2368,4778.203,4726.5559,4817.0952,-46.8762,-0.9731,120032796.0,238463337.8
1,399300.SZ,20200903,4817.0952,4841.502,4877.0117,4800.0577,4843.887,-26.7918,-0.5531,145671201.0,279411988.7
2,399300.SZ,20200902,4843.887,4859.0754,4863.5509,4797.5204,4842.1223,1.7647,0.0364,157989524.0,280778613.7
3,399300.SZ,20200901,4842.1223,4803.3922,4842.135,4791.7829,4816.2153,25.907,0.5379,138395402.0,262018070.5
4,399300.SZ,20200831,4816.2153,4870.9337,4901.2115,4816.2123,4844.2652,-28.0499,-0.579,202567029.0,357005064.6
5,399300.SZ,20200828,4844.2652,4727.292,4850.4884,4719.3526,4731.3451,112.9201,2.3866,159399765.0,305047882.5
6,399300.SZ,20200827,4731.3451,4718.062,4731.9351,4679.3623,4706.1302,25.2149,0.5358,119042850.0,223631511.4
7,399300.SZ,20200826,4706.1302,4761.7186,4786.4249,4689.881,4761.9507,-55.8205,-1.1722,151305180.0,277456360.6
8,399300.SZ,20200825,4761.9507,4769.2107,4802.4122,4746.313,4755.8491,6.1016,0.1283,141701351.0,262308788.2
9,399300.SZ,20200824,4755.8491,4746.4035,4769.4673,4716.6054,4718.8431,37.006,0.7842,151143512.0,272428686.4
10,399300.SZ,20200821,4718.8431,4717.7874,4739.4836,4684.8101,4679.1544,39.6887,0.8482,142657864.0,251775160.2
11,399300.SZ,20200820,4679.1544,4708.1253,4721.4357,4662.8032,4740.6784,-61.524,-1.2978,158368639.0,260486563.5
12,399300.SZ,20200819,4740.6784,4804.6655,4809.0499,4738.0086,4812.7564,-72.078,-1.4976,192442948.0,319403284.7
13,399300.SZ,20200818,4812.7564,4816.5703,4825.3861,4788.8293,4815.2261,-2.4697,-0.0513,189139854.0,314395904.5
14,399300.SZ,20200817,4815.2261,4727.1204,4838.0864,4721.3589,4704.6288,110.5973,2.3508,268001556.0,416469154.9
15,399300.SZ,20200814,4704.6288,4627.61,4708.0709,4617.632,4635.7126,68.9162,1.4866,147292921.0,254343934.2
16,399300.SZ,20200813,4635.7126,4666.4901,4671.7689,4626.1033,4647.6446,-11.932,-0.2567,152550092.0,250945872.5
17,399300.SZ,20200812,4647.6446,4668.8899,4681.6206,4566.2736,4681.7837,-34.1391,-0.7292,202887239.0,347298673.2
18,399300.SZ,20200811,4681.7837,4730.3748,4791.5337,4674.8642,4724.8697,-43.086,-0.9119,205546511.0,350828586.2
19,399300.SZ,20200810,4724.8697,4681.7553,4757.6634,4646.2885,4707.9262,16.9435,0.3599,203788832.0,371297560.0
20,399300.SZ,20200807,4707.9262,4742.2939,4749.0217,4637.8427,4762.7642,-54.838,-1.1514,213518216.0,397041212.8
21,399300.SZ,20200806,4762.7642,4779.2377,4791.8565,4691.1569,4777.1089,-14.3447,-0.3003,227854406.0,404323404.0
22,399300.SZ,20200805,4777.1089,4761.7637,4786.7031,4711.2723,4775.8024,1.3065,0.0274,196700548.0,347407839.3
23,399300.SZ,20200804,4775.8024,4778.4866,4807.0782,4747.7748,4771.3108,4.4916,0.0941,239974985.0,426411345.9
24,399300.SZ,20200803,4771.3108,4735.8985,4771.3694,4720.025,4695.0462,76.2646,1.6244,214776239.0,401914824.9
25,399300.SZ,20200731,4695.0462,4652.1824,4741.8084,4621.9635,4656.1506,38.8956,0.8354,184839026.0,351119312.4
26,399300.SZ,20200730,4656.1506,4689.7632,4704.6305,4649.7677,4679.008,-22.8574,-0.4885,166967566.0,324009242.6
27,399300.SZ,20200729,4679.008,4559.1634,4680.558,4548.8535,4568.2576,110.7504,2.4243,186695305.0,350432649.1
28,399300.SZ,20200728,4568.2576,4567.6691,4590.2496,4537.6849,4528.45,39.8076,0.8791,162768498.0,292835785.3
29,399300.SZ,20200727,4528.45,4535.0053,4558.1189,4482.4408,4505.5906,22.8594,0.5074,171420551.0,301893370.1
30,399300.SZ,20200724,4505.5906,4679.0273,4691.698,4479.3928,4712.4357,-206.8451,-4.3893,243905203.0,437726712.2
31,399300.SZ,20200723,4712.4357,4668.7401,4731.4004,4607.6585,4714.4454,-2.0097,-0.0426,234314569.0,405175268.6
32,399300.SZ,20200722,4714.4454,4682.6575,4790.4491,4675.3488,4691.0425,23.4029,0.4989,224199211.0,386470859.9
33,399300.SZ,20200721,4691.0425,4697.5026,4714.2925,4661.444,4680.3046,10.7379,0.2294,200415659.0,356069805.7
34,399300.SZ,20200720,4680.3046,4597.2038,4681.9431,4534.2305,4544.7007,135.6039,2.9838,246068914.0,416714222.2
35,399300.SZ,20200717,4544.7007,4524.7717,4601.3733,4485.8214,4516.2532,28.4475,0.6299,207375563.0,372973887.0
36,399300.SZ,20200716,4516.2532,4741.5295,4772.5638,4513.6537,4744.4687,-228.2155,-4.8101,284657133.0,511237962.8
37,399300.SZ,20200715,4744.4687,4821.5155,4837.4757,4723.3608,4806.6902,-62.2215,-1.2945,272389006.0,486748347.6
38,399300.SZ,20200714,4806.6902,4836.1655,4860.4404,4729.9258,4852.9612,-46.271,-0.9535,297241985.0,511211048.1
39,399300.SZ,20200713,4852.9612,4742.3738,4878.0773,4741.8743,4753.1333,99.8279,2.1003,321645446.0,541105098.7
40,399300.SZ,20200710,4753.1333,4796.0873,4821.3745,4734.4725,4840.7712,-87.6379,-1.8104,316949651.0,510472055.0
41,399300.SZ,20200709,4840.7712,4770.0769,4854.1201,4757.2943,4774.0042,66.767,1.3986,351046893.0,556718732.0
42,399300.SZ,20200708,4774.0042,4692.8621,4803.3643,4670.6501,4698.1264,75.8778,1.6151,348074847.0,532849825.9
43,399300.SZ,20200707,4698.1264,4739.6104,4796.3155,4688.0574,4670.0949,28.0315,0.6002,406008553.0,635254742.7
44,399300.SZ,20200706,4670.0949,4465.8081,4678.1121,4465.8081,4419.5955,250.4994,5.6679,405821025.0,597438217.7
45,399300.SZ,20200703,4419.5955,4353.1937,4419.5955,4348.4535,4335.8445,83.751,1.9316,290485539.0,442335024.2
46,399300.SZ,20200702,4335.8445,4239.408,4340.1039,4238.1164,4247.7835,88.061,2.0731,252939368.0,399571526.6
47,399300.SZ,20200701,4247.7835,4172.6425,4247.7835,4163.4954,4163.9637,83.8198,2.013,169990456.0,305711799.7
48,399300.SZ,20200630,4163.9637,4130.0028,4174.4236,4129.7754,4109.7164,54.2473,1.32,125933521.0,227935704.4
49,399300.SZ,20200629,4109.7164,4127.9348,4137.3696,4092.5352,4138.9895,-29.2731,-0.7073,130865854.0,226522059.7
50,399300.SZ,20200624,4138.9895,4128.1003,4144.6782,4123.3582,4121.7944,17.1951,0.4172,121712465.0,224551430.0
51,399300.SZ,20200623,4121.7944,4098.0373,4124.725,4080.7533,4102.0459,19.7485,0.4814,129229510.0,234806510.8
52,399300.SZ,20200622,4102.0459,4097.5071,4126.9421,4088.7822,4098.7095,3.3364,0.0814,155829465.0,259200520.7
53,399300.SZ,20200619,4098.7095,4047.0483,4109.3602,4043.4925,4044.3842,54.3253,1.3432,152946990.0,255549797.2
54,399300.SZ,20200618,4044.3842,4009.7831,4047.5566,4000.9008,4017.5941,26.7901,0.6668,138148761.0,210192918.1
55,399300.SZ,20200617,4017.5941,4018.6094,4018.6094,3992.1339,4014.5702,3.0239,0.0753,105605799.0,176977503.6
56,399300.SZ,20200616,4014.5702,3995.5786,4014.5702,3987.8637,3954.9883,59.5819,1.5065,111051539.0,185104029.1
